dataset,sgRNA,gene,histogram
X0569_4222341_clones,1,ctl_22,131x1;109x1;40x1;38x1;33x3;32x2;31x2;29x1;28x1;25x1;24x1;23x2;22x1;20x2;19x1;18x3;17x1;16x1;15x1;14x2;13x1;12x2;11x4;10x1;9x4;8x3;7x5;6x8;5x8;4x9;3x18;2x26;1x316
X0569_4222341_clones,2,ctl_23,185x1;131x1;115x1;102x1;76x1;75x1;64x1;62x2;59x1;58x1;56x2;52x1;49x2;46x1;43x2;42x2;40x1;39x1;38x1;37x3;35x2;34x3;33x3;32x3;31x6;30x6;29x2;28x1;27x4;26x4;25x3;23x2;22x4;21x6;20x7;19x5;18x7;17x6;16x6;15x5;14x8;13x8;12x12;11x11;10x11;9x19;8x20;7x31;6x33;5x39;4x45;3x72;2x120;1x1171
X0569_4222341_clones,3,ctl_24,109x1;84x1;59x1;58x1;55x1;54x1;53x1;50x1;49x1;48x1;46x1;45x1;44x1;43x1;42x2;40x1;39x1;36x3;35x4;34x1;33x1;32x1;30x4;28x3;27x2;25x3;24x2;22x7;21x6;20x3;18x3;17x6;16x8;15x10;14x6;13x6;12x6;11x8;10x4;9x13;8x19;7x22;6x18;5x23;4x38;3x50;2x74;1x766
X0569_4222341_clones,4,ctl_25,124x1;99x1;75x1;64x1;56x1;47x1;41x1;39x1;38x1;37x1;35x1;34x1;33x2;32x1;31x3;30x3;29x1;28x2;27x3;26x3;25x1;23x2;22x5;21x5;20x4;19x3;18x1;17x3;16x6;15x6;14x7;13x9;12x11;11x6;10x7;9x14;8x12;7x16;6x18;5x19;4x37;3x53;2x79;1x742
X0569_4222341_clones,5,ctl_26,100x1;82x1;76x1;57x1;54x1;52x1;49x1;48x1;38x1;36x2;35x1;34x1;31x1;30x1;26x1;25x1;23x1;22x1;21x2;20x1;19x2;18x4;17x3;16x1;15x4;14x7;13x5;12x9;11x1;10x3;9x10;8x10;7x5;6x14;5x11;4x17;3x31;2x62;1x459
X0569_4222341_clones,6,ctl_27,130x1;90x1;74x1;72x1;67x1;64x2;62x1;59x1;58x1;57x2;56x2;53x1;52x2;50x2;47x2;46x1;45x4;43x1;42x2;41x2;40x1;39x1;38x1;37x2;36x1;35x1;33x3;32x2;31x5;30x2;29x4;28x3;27x1;26x2;25x2;24x7;23x4;22x6;21x8;20x8;19x7;18x6;17x6;16x12;15x14;14x20;13x9;12x13;11x19;10x20;9x23;8x28;7x28;6x39;5x58;4x74;3x109;2x178;1x1516
X0569_4222341_clones,7,ctl_28,213x1;207x1;71x1;67x1;60x1;54x1;52x2;47x1;45x1;40x1;36x3;35x2;33x2;32x1;31x1;29x1;28x1;27x1;26x4;25x1;24x1;23x2;22x7;21x5;20x4;19x6;18x5;17x1;16x7;15x3;14x7;13x9;12x2;11x8;10x5;9x16;8x14;7x12;6x24;5x28;4x40;3x42;2x83;1x809
X0569_4222341_clones,8,ctl_29,129x1;89x1;78x1;73x1;72x2;70x1;64x1;60x1;58x1;57x1;55x1;52x1;50x1;47x1;45x1;44x1;42x3;39x1;38x1;37x3;36x3;34x3;33x2;32x3;31x1;30x3;29x2;28x5;27x3;26x2;25x4;24x1;23x5;22x3;21x1;20x3;19x4;18x7;17x11;16x10;15x17;14x8;13x18;12x11;11x13;10x14;9x22;8x17;7x15;6x33;5x46;4x54;3x82;2x131;1x1165
X0569_4222341_clones,9,ctl_30,119x1;110x1;101x1;100x1;89x1;83x1;79x1;76x1;74x1;73x1;72x1;71x1;67x1;65x2;63x1;60x2;59x1;58x2;57x1;55x2;54x1;52x2;51x1;50x2;49x1;48x2;47x1;45x2;44x1;42x1;41x2;40x2;39x1;38x2;37x2;36x3;35x2;34x1;33x2;32x2;30x5;29x5;28x5;27x9;26x3;25x4;24x7;23x6;22x4;21x8;20x7;19x10;18x14;17x12;16x8;15x17;14x20;13x19;12x15;11x17;10x17;9x35;8x36;7x51;6x53;5x66;4x97;3x127;2x249;1x1852
X0569_4222341_clones,10,ctl_31,195x1;136x1;127x1;92x1;89x1;87x1;85x1;79x3;73x1;71x1;66x1;64x2;62x1;60x1;59x1;57x3;55x1;54x1;53x1;52x3;51x2;49x1;48x3;47x4;46x1;45x3;42x3;41x4;40x3;39x2;38x4;37x5;36x4;35x1;34x1;33x9;32x2;31x3;30x5;29x3;28x5;27x9;26x6;25x7;24x2;23x10;22x21;21x11;20x12;19x8;18x14;17x6;16x16;15x26;14x21;13x20;12x28;11x35;10x42;9x51;8x48;7x73;6x80;5x102;4x144;3x197;2x396;1x2619
X0569_4222341_clones,11,ctl_32,128x1;67x2;64x3;60x1;58x1;57x1;55x1;53x1;52x1;49x2;48x1;47x2;46x2;45x1;43x1;40x1;39x1;38x4;37x1;36x2;35x1;34x2;33x1;32x2;31x2;30x2;29x3;28x3;26x3;25x3;24x6;23x5;22x5;21x1;20x5;19x4;18x6;17x5;16x6;15x6;14x14;13x12;12x19;11x13;10x18;9x21;8x17;7x28;6x34;5x36;4x61;3x79;2x161;1x1308
X0569_4222341_clones,12,ctl_33,199x1;187x1;103x1;93x1;88x1;86x1;85x1;80x1;79x2;71x2;69x1;67x1;64x1;62x1;61x1;60x1;59x1;58x3;57x1;56x3;55x1;53x1;50x2;49x4;47x1;46x1;45x1;43x2;42x3;41x2;40x1;39x3;38x4;36x2;35x5;34x1;33x3;32x1;31x2;30x2;29x3;28x3;27x3;26x3;25x7;24x4;23x7;22x3;21x9;20x7;19x6;18x6;17x9;16x10;15x16;14x15;13x17;12x14;11x13;10x17;9x34;8x27;7x32;6x55;5x48;4x73;3x118;2x188;1x1773
X0569_4222341_clones,13,ctl_34,128x1;109x1;104x1;103x1;101x1;98x2;91x1;84x2;78x1;76x1;74x1;68x2;62x2;56x2;55x1;51x3;50x1;47x1;44x2;43x1;41x1;40x3;39x2;38x1;37x1;36x1;35x1;34x2;33x2;32x5;31x1;30x1;29x3;28x4;27x5;26x5;25x7;24x5;23x3;22x5;21x7;20x4;19x7;18x4;17x6;16x9;15x10;14x20;13x14;12x17;11x29;10x19;9x24;8x22;7x39;6x29;5x54;4x61;3x99;2x169;1x1554
X0569_4222341_clones,14,ctl_35,63x1;53x1;38x1;35x1;32x1;30x1;25x1;24x3;22x1;21x2;19x2;18x4;16x5;15x3;14x5;13x2;12x2;11x7;10x7;9x9;8x3;7x5;6x26;5x16;4x27;3x52;2x91;1x456
X0569_4222341_clones,15,ctl_36,186x1;157x1;95x1;74x1;62x1;58x1;57x1;55x1;54x1;53x1;51x1;49x2;48x1;47x1;46x2;45x2;40x1;36x2;34x1;33x2;31x2;30x1;29x2;28x4;26x3;25x3;24x2;22x5;21x4;20x5;19x4;17x7;16x5;15x6;14x4;13x10;12x12;11x12;10x13;9x10;8x12;7x14;6x20;5x27;4x31;3x53;2x108;1x814
X0569_4222341_clones,16,ctl_37,136x1;110x1;85x1;80x1;78x1;74x1;56x1;54x2;53x1;52x1;49x1;41x1;39x1;38x1;37x1;36x1;35x1;32x1;31x1;25x3;24x2;23x4;22x1;21x6;20x1;19x2;18x4;17x4;16x6;15x6;14x7;13x4;12x10;11x5;10x3;9x11;8x9;7x12;6x21;5x22;4x26;3x43;2x69;1x679
X0569_4222341_clones,17,ctl_38,174x1;169x1;153x1;134x1;103x1;101x1;91x1;77x1;74x1;73x1;66x1;65x1;64x2;61x2;60x4;55x1;54x3;52x3;50x1;48x1;47x2;46x1;45x1;44x1;43x1;42x1;41x2;39x2;38x2;37x3;36x3;35x2;34x3;33x4;32x3;31x6;30x3;29x4;28x4;27x7;26x4;25x8;24x6;23x8;22x7;21x5;20x6;19x14;18x12;17x12;16x14;15x17;14x13;13x24;12x27;11x32;10x18;9x37;8x36;7x52;6x73;5x87;4x111;3x153;2x287;1x2148
X0569_4222341_clones,18,ctl_39,95x1;50x1;46x1;42x1;41x2;37x1;34x1;33x1;32x1;31x1;22x2;18x6;17x1;16x1;15x4;14x2;13x4;12x2;11x9;10x7;9x7;8x4;7x9;6x13;5x15;4x12;3x19;2x43;1x361
X0569_4222341_clones,19,ctl_40,115x1;63x1;52x1;51x1;50x1;49x2;46x2;45x1;41x1;40x1;39x2;38x1;36x1;35x1;34x2;33x1;31x3;30x2;29x3;28x2;27x2;26x3;25x4;24x6;23x2;22x3;21x5;20x7;19x5;18x4;17x6;16x10;15x11;14x4;13x9;12x16;11x15;10x17;9x20;8x21;7x39;6x31;5x47;4x60;3x74;2x130;1x1211
X0569_4222341_clones,20,ctl_41,125x1;107x1;105x1;102x1;99x1;96x1;94x1;88x1;81x1;69x1;63x1;62x1;58x1;55x1;50x1;49x1;48x1;46x1;44x3;43x1;42x1;41x1;40x2;38x1;37x1;36x1;35x2;34x1;32x3;30x4;29x4;28x8;27x2;26x1;25x4;24x2;23x5;22x1;21x5;20x7;19x8;18x5;17x8;16x13;15x15;14x10;13x10;12x14;11x20;10x28;9x17;8x35;7x38;6x33;5x43;4x67;3x91;2x182;1x1399
X0569_4222341_clones,21,ctl_42,202x1;104x1;68x1;66x3;56x1;55x1;53x1;52x1;49x2;47x1;46x2;45x2;44x1;43x2;40x3;39x2;38x1;37x2;35x2;34x3;33x1;32x3;31x1;29x2;28x1;27x1;26x3;24x6;23x6;22x1;21x8;20x1;19x1;18x7;17x9;16x6;15x5;14x5;13x3;12x15;11x12;10x16;9x21;8x21;7x29;6x26;5x44;4x63;3x85;2x139;1x1144
X0569_4222341_clones,22,ctl_43,129x1;113x1;72x1;61x1;56x3;54x2;53x1;50x1;48x2;45x2;42x2;41x1;39x1;38x3;37x1;36x1;35x2;34x4;33x3;32x2;31x3;29x1;28x4;27x1;26x6;25x1;24x1;23x4;22x4;21x2;20x12;19x5;18x12;17x5;16x5;15x10;14x10;13x10;12x16;11x18;10x19;9x28;8x29;7x52;6x39;5x58;4x69;3x95;2x202;1x1416
X0569_4222341_clones,23,ctl_44,104x1;81x1;78x1;77x1;74x1;69x2;68x3;64x1;63x2;61x1;59x1;55x1;54x1;53x1;52x1;51x1;50x1;49x1;48x2;47x2;45x1;44x4;43x1;42x1;39x2;38x1;37x1;36x1;35x3;34x2;33x5;32x3;31x2;30x2;29x1;28x3;27x5;26x2;25x7;24x6;23x3;22x3;21x10;20x8;19x5;18x6;17x5;16x14;15x7;14x20;13x24;12x15;11x33;10x30;9x30;8x34;7x39;6x53;5x67;4x59;3x112;2x206;1x1705
X0569_4222341_clones,24,ctl_45,88x1;65x1;62x1;60x1;49x1;45x1;38x1;37x1;35x1;34x1;33x2;31x1;29x1;28x2;27x1;26x3;25x3;24x3;23x4;22x2;21x2;20x2;18x2;17x4;16x7;15x4;14x6;13x6;12x7;11x14;10x12;9x9;8x11;7x19;6x12;5x25;4x43;3x45;2x77;1x636
