"","data","model","execFolder","round","value"
"1","X0662_12141.csv","MultiHit","exec_9",0,-1703472.48249291
"2","X0662_12141.csv","MultiHit","exec_9",1,-1178196.64992508
"3","X0662_12141.csv","MultiHit","exec_9",2,-960337.34512957
"4","X0662_12141.csv","MultiHit","exec_9",3,-801311.844199528
"5","X0662_12141.csv","MultiHit","exec_9",4,-781768.728412268
"6","X0662_12141.csv","MultiHit","exec_9",5,-779042.314774988
"7","X0662_12141.csv","MultiHit","exec_9",6,-778557.70897913
"8","X0662_12141.csv","MultiHit","exec_9",7,-778512.652332962
"9","X0662_12141.csv","MultiHit","exec_9",8,-778453.91416166
"10","X0569_4222341.csv","MixNB","exec_1",0,-1167004.33370233
"11","X0569_4222341.csv","MixNB","exec_1",1,-801391.646698817
"12","X0569_4222341.csv","MixNB","exec_1",2,-613594.829452898
"13","X0569_4222341.csv","MixNB","exec_1",3,-543977.458838668
"14","X0569_4222341.csv","MixNB","exec_1",4,-520858.657383101
"15","X0569_4222341.csv","MixNB","exec_1",5,-518610.347604159
"16","X0569_4222341.csv","MixNB","exec_1",6,-518980.402713154
"17","X0569_4222341.csv","MixNB","exec_1",7,-519303.856283894
"18","X0569_4222341.csv","MixNB","exec_1",8,-519286.80740064
"19","X0569_4222344.csv","MultiHit","exec_10",0,-1427045.49930373
"20","X0569_4222344.csv","MultiHit","exec_10",1,-911492.510099092
"21","X0569_4222344.csv","MultiHit","exec_10",2,-700103.931987046
"22","X0569_4222344.csv","MultiHit","exec_10",3,-576469.638190217
"23","X0569_4222344.csv","MultiHit","exec_10",4,-566575.631718126
"24","X0569_4222344.csv","MultiHit","exec_10",5,-565076.508457502
"25","X0569_4222344.csv","MultiHit","exec_10",6,-564884.888930804
"26","X0569_4222344.csv","MultiHit","exec_10",7,-565008.683091813
"27","X0569_4222344.csv","MultiHit","exec_10",8,-564940.072165234
"28","X0013_151.csv","MixNB","exec_7",0,-1276401.43191354
"29","X0013_151.csv","MixNB","exec_7",1,-893990.18278363
