"","model","dataset","priorHyperParameter","execFolder","sgrna","gene","logRatioLeftBound","logRatioRightBound","logRatio"
"1","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",1,"ctl_22",0.292963696881612,2.57813704546683,1.91355881625705
"2","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",2,"ctl_23",-3.13063803077183,-0.795459966460725,-1.89457880188201
"3","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",3,"ctl_24",-1.1227620043369,2.37715449084208,0.970614431810567
"4","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",4,"ctl_25",-3.20913161891162,-0.64457490823349,-1.80567753739934
"5","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",5,"ctl_26",-3.09303889617747,-1.35994256535493,-2.14323502256224
"6","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",6,"ctl_27",-3.18026442103093,-0.618785302709976,-1.80353426020883
"7","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",7,"ctl_28",-2.89342571813408,-1.05588305963833,-1.88557415039645
"8","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",8,"ctl_29",-1.98751140706352,1.8643626633941,0.0838079661931437
"9","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",9,"ctl_30",-3.14565837658384,0.246412076043742,-1.373590673405
"10","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",10,"ctl_31",-2.09787526204223,0.9632261604113,-0.380556694121828
"11","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",11,"ctl_32",-2.57057985500824,0.572727784154352,-0.891572812990451
"12","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",12,"ctl_33",-3.67598487714846,-0.989607975391727,-2.31380944868281
